date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc
18:37.5,1,500,535,0,500,85.00%,31.65%,85.00%,85.00%,85.00%,84.93%,85.00%
23:18.9,2,500,535,0,500,86.00%,27.52%,86.00%,86.00%,86.00%,85.99%,85.50%
28:01.2,3,500,535,0,500,87.00%,31.52%,87.00%,87.00%,87.00%,86.97%,86.00%
32:39.7,4,500,535,0,500,83.00%,32.10%,83.00%,83.00%,83.00%,82.98%,85.25%
37:21.3,5,500,535,0,500,80.00%,56.53%,80.00%,80.00%,80.00%,79.71%,84.20%
42:12.8,1,500,548,500,1000,81.00%,53.88%,81.00%,81.00%,81.00%,80.95%,81.00%
46:58.4,2,500,548,500,1000,79.00%,53.64%,79.00%,79.00%,79.00%,78.83%,80.00%
51:46.7,3,500,548,500,1000,80.00%,41.27%,80.00%,80.00%,80.00%,79.93%,80.00%
56:35.3,4,500,548,500,1000,76.00%,63.17%,76.00%,76.00%,76.00%,75.37%,79.00%
01:24.0,5,500,548,500,1000,78.00%,53.33%,78.00%,78.00%,78.00%,77.99%,78.80%
06:13.1,1,500,537,1000,1500,87.00%,34.73%,87.00%,87.00%,87.00%,86.84%,87.00%
10:55.1,2,500,537,1000,1500,79.00%,52.79%,79.00%,79.00%,79.00%,78.95%,83.00%
15:37.3,3,500,537,1000,1500,88.00%,28.82%,88.00%,88.00%,88.00%,87.68%,84.67%
20:21.8,4,500,537,1000,1500,78.00%,53.60%,78.00%,78.00%,78.00%,76.13%,83.00%
25:05.9,5,500,537,1000,1500,72.00%,73.21%,72.00%,72.00%,72.00%,67.27%,80.80%
29:54.9,1,500,539,1500,2000,86.00%,44.00%,86.00%,86.00%,86.00%,85.98%,86.00%
34:40.3,2,500,539,1500,2000,79.00%,66.30%,79.00%,79.00%,79.00%,77.83%,82.50%
39:25.0,3,500,539,1500,2000,81.00%,58.17%,81.00%,81.00%,81.00%,80.12%,82.00%
44:10.0,4,500,539,1500,2000,80.00%,43.82%,80.00%,80.00%,80.00%,80.00%,81.50%
48:54.7,5,500,539,1500,2000,69.00%,88.42%,69.00%,69.00%,69.00%,65.21%,79.00%
53:48.6,1,500,553,2000,2500,75.00%,58.52%,75.00%,75.00%,75.00%,73.60%,75.00%
58:39.8,2,500,553,2000,2500,83.00%,42.16%,83.00%,83.00%,83.00%,82.79%,79.00%
03:30.6,3,500,553,2000,2500,83.00%,39.23%,83.00%,83.00%,83.00%,82.71%,80.33%
08:22.2,4,500,553,2000,2500,80.00%,36.34%,80.00%,80.00%,80.00%,78.98%,80.25%
13:12.2,5,500,553,2000,2500,80.00%,52.56%,80.00%,80.00%,80.00%,79.93%,80.20%
18:08.3,1,500,554,2500,3000,81.00%,49.25%,81.00%,81.00%,81.00%,80.12%,81.00%
23:01.1,2,500,554,2500,3000,72.00%,76.98%,72.00%,72.00%,72.00%,70.29%,76.50%
27:51.3,3,500,554,2500,3000,87.00%,28.51%,87.00%,87.00%,87.00%,86.99%,80.00%
32:42.2,4,500,554,2500,3000,81.00%,37.38%,81.00%,81.00%,81.00%,80.77%,80.25%
37:33.5,5,500,554,2500,3000,87.00%,32.50%,87.00%,87.00%,87.00%,86.99%,81.60%
42:17.7,1,500,532,3000,3500,81.00%,74.41%,81.00%,81.00%,81.00%,80.95%,81.00%
46:58.5,2,500,532,3000,3500,88.00%,32.71%,88.00%,88.00%,88.00%,88.00%,84.50%
51:40.4,3,500,532,3000,3500,88.00%,31.10%,88.00%,88.00%,88.00%,87.88%,85.67%
56:23.4,4,500,532,3000,3500,89.00%,29.52%,89.00%,89.00%,89.00%,88.97%,86.50%
01:06.2,5,500,532,3000,3500,78.00%,51.95%,78.00%,78.00%,78.00%,77.92%,84.80%
05:58.9,1,500,545,3500,4000,73.00%,70.15%,73.00%,73.00%,73.00%,71.49%,73.00%
10:45.5,2,500,545,3500,4000,91.00%,26.48%,91.00%,91.00%,91.00%,91.00%,82.00%
15:32.4,3,500,545,3500,4000,90.00%,26.83%,90.00%,90.00%,90.00%,89.96%,84.67%
20:19.3,4,500,545,3500,4000,89.00%,29.70%,89.00%,89.00%,89.00%,88.97%,85.75%
25:07.7,5,500,545,3500,4000,92.00%,23.91%,92.00%,92.00%,92.00%,92.00%,87.00%
29:52.0,1,500,528,4000,4500,74.00%,53.86%,74.00%,74.00%,74.00%,73.62%,74.00%
34:31.8,2,500,528,4000,4500,89.00%,29.81%,89.00%,89.00%,89.00%,88.87%,81.50%
39:12.5,3,500,528,4000,4500,87.00%,32.69%,87.00%,87.00%,87.00%,86.97%,83.33%
43:50.8,4,500,528,4000,4500,85.00%,39.34%,85.00%,85.00%,85.00%,84.16%,83.75%
48:29.2,5,500,528,4000,4500,88.00%,34.32%,88.00%,88.00%,88.00%,87.92%,84.60%
53:19.2,1,500,545,4500,5000,85.00%,35.42%,85.00%,85.00%,85.00%,84.65%,85.00%
58:05.1,2,500,545,4500,5000,91.00%,29.84%,91.00%,91.00%,91.00%,90.89%,88.00%
02:50.8,3,500,545,4500,5000,82.00%,36.40%,82.00%,82.00%,82.00%,80.69%,86.00%
07:38.1,4,500,545,4500,5000,82.00%,46.24%,82.00%,82.00%,82.00%,81.25%,85.00%
12:24.0,5,500,545,4500,5000,87.00%,37.36%,87.00%,87.00%,87.00%,86.94%,85.40%
17:14.1,1,500,543,5000,5500,83.00%,41.08%,83.00%,83.00%,83.00%,82.98%,83.00%
22:00.9,2,500,543,5000,5500,85.00%,41.67%,85.00%,85.00%,85.00%,84.88%,84.00%
26:47.0,3,500,543,5000,5500,88.00%,40.81%,88.00%,88.00%,88.00%,87.92%,85.33%
31:31.3,4,500,543,5000,5500,71.00%,73.90%,71.00%,71.00%,71.00%,69.66%,81.75%
